locus_tag	ftype	length_bp	gene	EC_number	COG	product
PGJBDIIN_00399	CDS	864	lipA	2.8.1.8		Lipoyl synthase
PGJBDIIN_00400	CDS	717	ubiE	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
PGJBDIIN_00401	CDS	1065	ftsW	2.4.1.129		putative peptidoglycan glycosyltransferase FtsW
PGJBDIIN_00402	CDS	390				hypothetical protein
PGJBDIIN_00403	CDS	741				hypothetical protein
PGJBDIIN_00404	CDS	1548				hypothetical protein
PGJBDIIN_00405	CDS	267				hypothetical protein
PGJBDIIN_00406	CDS	444				hypothetical protein
PGJBDIIN_00407	CDS	264				hypothetical protein
PGJBDIIN_00408	CDS	1707		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
PGJBDIIN_00409	CDS	219				hypothetical protein
PGJBDIIN_00410	CDS	1707	argS	6.1.1.19		Arginine--tRNA ligase
PGJBDIIN_00411	CDS	225				hypothetical protein
PGJBDIIN_00412	CDS	300				hypothetical protein
PGJBDIIN_00413	CDS	102				hypothetical protein
PGJBDIIN_00414	CDS	1296				hypothetical protein
PGJBDIIN_00415	CDS	624	ccmA	7.6.2.5	COG4133	Cytochrome c biogenesis ATP-binding export protein CcmA
PGJBDIIN_00416	CDS	432				hypothetical protein
PGJBDIIN_00417	CDS	1866	aspS	6.1.1.12		Aspartate--tRNA ligase
PGJBDIIN_00418	CDS	1263	proP_2			Proline/betaine transporter
PGJBDIIN_00419	CDS	924	rluC	5.4.99.24	COG0564	Ribosomal large subunit pseudouridine synthase C
PGJBDIIN_00420	CDS	981	acoA	1.1.1.-	COG1071	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
PGJBDIIN_00421	CDS	429				hypothetical protein
PGJBDIIN_00422	CDS	1320	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
PGJBDIIN_00423	CDS	993	dtpA		COG3104	Dipeptide and tripeptide permease A
PGJBDIIN_00424	CDS	522	dtpC		COG3104	Dipeptide and tripeptide permease C
PGJBDIIN_00425	CDS	3336	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
PGJBDIIN_00426	CDS	2490				hypothetical protein
PGJBDIIN_00427	CDS	2340	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
PGJBDIIN_00428	CDS	264				hypothetical protein
PGJBDIIN_00429	CDS	726	atpB		COG0356	ATP synthase subunit a
PGJBDIIN_00430	CDS	228	atpH_1			ATP synthase subunit c
PGJBDIIN_00431	CDS	480	atpF_1			ATP synthase subunit b
PGJBDIIN_00432	CDS	477	atpF_2			ATP synthase subunit b
PGJBDIIN_00433	CDS	1599				hypothetical protein
PGJBDIIN_00434	CDS	1029	ctaA	1.3.-.-	COG1612	Heme A synthase
PGJBDIIN_00435	CDS	2076	accA1		COG4770	Acetyl-/propionyl-coenzyme A carboxylase alpha chain
PGJBDIIN_00436	CDS	756				hypothetical protein
PGJBDIIN_00437	CDS	1422	gltX	6.1.1.17		Glutamate--tRNA ligase
PGJBDIIN_00438	CDS	156				hypothetical protein
PGJBDIIN_00439	CDS	1800	sdhA	1.3.5.1	COG1053	Succinate dehydrogenase flavoprotein subunit
PGJBDIIN_00440	CDS	1899				hypothetical protein
PGJBDIIN_00441	CDS	618	gmk	2.7.4.8	COG0194	Guanylate kinase
PGJBDIIN_00442	CDS	1794				hypothetical protein
PGJBDIIN_00443	CDS	1194				hypothetical protein
PGJBDIIN_00444	CDS	1095	ychF		COG0012	Ribosome-binding ATPase YchF
PGJBDIIN_00445	CDS	906				hypothetical protein
PGJBDIIN_00446	CDS	1176	cca	2.7.7.72		CCA-adding enzyme
PGJBDIIN_00447	CDS	1248				hypothetical protein
PGJBDIIN_00448	CDS	369				hypothetical protein
PGJBDIIN_00449	CDS	534				hypothetical protein
PGJBDIIN_00450	CDS	1098	gap	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase
PGJBDIIN_00451	CDS	762	tatC		COG0805	Sec-independent protein translocase protein TatC
PGJBDIIN_00452	CDS	456	argR		COG1438	Arginine repressor
PGJBDIIN_00453	CDS	735	artP		COG0834	Arginine-binding extracellular protein ArtP
PGJBDIIN_00454	CDS	648	artQ		COG0765	Arginine transport system permease protein ArtQ
PGJBDIIN_00455	CDS	642	artM		COG1126	Arginine transport ATP-binding protein ArtM
PGJBDIIN_00456	CDS	381			COG3039	IS5 family transposase ISWpi1
PGJBDIIN_00457	CDS	342			COG3039	IS5 family transposase ISWpi1
PGJBDIIN_00458	CDS	1200				hypothetical protein
PGJBDIIN_00459	CDS	294				hypothetical protein
PGJBDIIN_00460	CDS	798				hypothetical protein
PGJBDIIN_00461	CDS	675	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
PGJBDIIN_00462	CDS	1323	smc_2			Chromosome partition protein Smc
PGJBDIIN_00463	CDS	243				hypothetical protein
PGJBDIIN_00464	CDS	1215	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
PGJBDIIN_00465	CDS	2595	valS	6.1.1.9		Valine--tRNA ligase
PGJBDIIN_00466	CDS	1110	smc_3			Chromosome partition protein Smc
PGJBDIIN_00467	CDS	516	yrdA		COG0663	Protein YrdA
PGJBDIIN_00468	CDS	321				hypothetical protein
PGJBDIIN_00469	CDS	1590	pyrG	6.3.4.2	COG0504	CTP synthase
PGJBDIIN_00470	CDS	408	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
PGJBDIIN_00471	CDS	1203	proP_3			Proline/betaine transporter
PGJBDIIN_00472	CDS	267				hypothetical protein
PGJBDIIN_00473	CDS	1101	ftsH_2	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
PGJBDIIN_00474	CDS	1089	bfmBAB	1.2.4.4	COG0022	2-oxoisovalerate dehydrogenase subunit beta
PGJBDIIN_00475	CDS	438				hypothetical protein
PGJBDIIN_00476	CDS	1797	lepA	3.6.5.-	COG0481	Elongation factor 4
PGJBDIIN_00477	CDS	1395				hypothetical protein
PGJBDIIN_00478	CDS	693				hypothetical protein
PGJBDIIN_00479	CDS	276				hypothetical protein
PGJBDIIN_00480	CDS	870				hypothetical protein
PGJBDIIN_00481	CDS	942				hypothetical protein
PGJBDIIN_00482	CDS	741			COG0217	putative transcriptional regulatory protein
PGJBDIIN_00483	CDS	708	bamD		COG4105	Outer membrane protein assembly factor BamD
PGJBDIIN_00484	CDS	942				hypothetical protein
PGJBDIIN_00485	CDS	534	pgsA	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
PGJBDIIN_00486	CDS	1323	tme	1.1.1.40	COG0280	NADP-dependent malic enzyme
PGJBDIIN_00487	CDS	927				hypothetical protein
PGJBDIIN_00488	CDS	219			COG0271	putative protein RP812
PGJBDIIN_00489	CDS	324	grxD		COG0278	Glutaredoxin 4
PGJBDIIN_00490	CDS	1395	fumC	4.2.1.2	COG0114	Fumarate hydratase class II
PGJBDIIN_00491	CDS	1023	obg	3.6.5.-		GTPase Obg
PGJBDIIN_00492	CDS	1275	eno	4.2.1.11		Enolase
PGJBDIIN_00493	CDS	1497	murC	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
PGJBDIIN_00494	CDS	675	rlpA	4.2.2.-		Endolytic peptidoglycan transglycosylase RlpA
PGJBDIIN_00495	CDS	1365	ankX	2.7.1.-	COG0666	Phosphocholine transferase AnkX
PGJBDIIN_00496	CDS	1488	sctC			Type 3 secretion system secretin
PGJBDIIN_00497	CDS	933				hypothetical protein
PGJBDIIN_00498	CDS	1227	mtaB	2.8.4.5	COG0621	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
PGJBDIIN_00499	CDS	1470	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
PGJBDIIN_00500	CDS	1077				hypothetical protein
PGJBDIIN_00501	CDS	240				hypothetical protein
PGJBDIIN_00502	CDS	204				hypothetical protein
PGJBDIIN_00503	CDS	399				hypothetical protein
PGJBDIIN_00504	CDS	939				hypothetical protein
PGJBDIIN_00505	CDS	1797	mutL_1			DNA mismatch repair protein MutL
PGJBDIIN_00506	CDS	441	rnhA_2	3.1.26.4		Ribonuclease H
PGJBDIIN_00507	CDS	102				hypothetical protein
PGJBDIIN_00508	CDS	930				hypothetical protein
PGJBDIIN_00509	CDS	3297				hypothetical protein
PGJBDIIN_00510	CDS	8532				hypothetical protein
PGJBDIIN_00511	CDS	1410				hypothetical protein
PGJBDIIN_00512	CDS	381				hypothetical protein
PGJBDIIN_00513	CDS	342			COG3039	IS5 family transposase ISWpi1
PGJBDIIN_00514	CDS	381			COG3039	IS5 family transposase ISWpi1
PGJBDIIN_00515	CDS	753	ltrA		COG3344	Group II intron-encoded protein LtrA
PGJBDIIN_00516	CDS	240				hypothetical protein
PGJBDIIN_00517	CDS	204				hypothetical protein
PGJBDIIN_00518	CDS	543				hypothetical protein
PGJBDIIN_00519	CDS	285				hypothetical protein
PGJBDIIN_00520	CDS	165				hypothetical protein
PGJBDIIN_00521	CDS	165				hypothetical protein
PGJBDIIN_00522	CDS	864				hypothetical protein
PGJBDIIN_00523	tRNA	74				tRNA-Phe(gaa)
PGJBDIIN_00524	CDS	507	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
PGJBDIIN_00525	CDS	192				hypothetical protein
PGJBDIIN_00526	CDS	627				hypothetical protein
PGJBDIIN_00527	CDS	696	ispU	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
PGJBDIIN_00528	CDS	264				hypothetical protein
PGJBDIIN_00529	CDS	558	frr		COG0233	Ribosome-recycling factor
PGJBDIIN_00530	CDS	744	pyrH	2.7.4.22	COG0528	Uridylate kinase
PGJBDIIN_00531	CDS	861	tsf		COG0264	Elongation factor Ts
PGJBDIIN_00532	CDS	849	rpsB		COG0052	30S ribosomal protein S2
PGJBDIIN_00533	tRNA	77				tRNA-Asp(gtc)
PGJBDIIN_00534	CDS	372	yajC		COG1862	Sec translocon accessory complex subunit YajC
PGJBDIIN_00535	CDS	1821	nodM	2.6.1.16		Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
PGJBDIIN_00536	CDS	444				hypothetical protein
PGJBDIIN_00537	CDS	1296				hypothetical protein
PGJBDIIN_00538	CDS	834				hypothetical protein
PGJBDIIN_00539	CDS	888	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
PGJBDIIN_00540	CDS	909	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
PGJBDIIN_00541	CDS	1173	sucB	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
PGJBDIIN_00542	CDS	1959				hypothetical protein
PGJBDIIN_00543	CDS	453				hypothetical protein
PGJBDIIN_00544	CDS	381			COG3039	IS5 family transposase ISWpi1
PGJBDIIN_00545	CDS	342			COG3039	IS5 family transposase ISWpi1
PGJBDIIN_00546	CDS	969				hypothetical protein
PGJBDIIN_00547	CDS	2661	secA		COG0653	Protein translocase subunit SecA
PGJBDIIN_00548	CDS	990				hypothetical protein
PGJBDIIN_00549	CDS	645	tal	2.2.1.2	COG0176	Transaldolase
PGJBDIIN_00550	CDS	342				hypothetical protein
PGJBDIIN_00551	CDS	354				hypothetical protein
PGJBDIIN_00552	CDS	165				hypothetical protein
PGJBDIIN_00553	CDS	879	folD			Bifunctional protein FolD protein
PGJBDIIN_00554	CDS	576	ubiX	2.5.1.129	COG0163	Flavin prenyltransferase UbiX
PGJBDIIN_00555	CDS	267				hypothetical protein
PGJBDIIN_00556	CDS	1284				hypothetical protein
PGJBDIIN_00557	CDS	1179	argD_1	2.6.1.11	COG4992	Acetylornithine aminotransferase
PGJBDIIN_00558	CDS	1173	nuoD	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit D
PGJBDIIN_00559	CDS	222				hypothetical protein
PGJBDIIN_00560	CDS	1329			COG3385	IS4 family transposase ISWen1
PGJBDIIN_00561	CDS	336				hypothetical protein
PGJBDIIN_00562	CDS	909				hypothetical protein
PGJBDIIN_00563	CDS	216				hypothetical protein
PGJBDIIN_00564	CDS	522				hypothetical protein
PGJBDIIN_00565	CDS	945				hypothetical protein
PGJBDIIN_00566	CDS	210				hypothetical protein
PGJBDIIN_00567	CDS	348				hypothetical protein
PGJBDIIN_00568	CDS	2265				hypothetical protein
PGJBDIIN_00569	CDS	258				hypothetical protein
PGJBDIIN_00570	CDS	246				hypothetical protein
PGJBDIIN_00571	CDS	201				hypothetical protein
PGJBDIIN_00572	CDS	498				hypothetical protein
PGJBDIIN_00573	CDS	726	gpFI			Putative prophage major tail sheath protein
PGJBDIIN_00574	CDS	345				hypothetical protein
PGJBDIIN_00575	CDS	552				hypothetical protein
PGJBDIIN_00576	CDS	1431				hypothetical protein
PGJBDIIN_00577	CDS	195				hypothetical protein
PGJBDIIN_00578	CDS	1179				hypothetical protein
PGJBDIIN_00579	CDS	1929				hypothetical protein
PGJBDIIN_00580	CDS	702				hypothetical protein
PGJBDIIN_00581	CDS	2049				hypothetical protein
PGJBDIIN_00582	CDS	885				hypothetical protein
PGJBDIIN_00583	CDS	501				hypothetical protein
PGJBDIIN_00584	CDS	255				hypothetical protein
PGJBDIIN_00585	CDS	342			COG3039	IS5 family transposase ISWpi1
PGJBDIIN_00586	CDS	381			COG3039	IS5 family transposase ISWpi1
PGJBDIIN_00587	CDS	591				hypothetical protein
PGJBDIIN_00588	CDS	822				hypothetical protein
PGJBDIIN_00589	CDS	495				hypothetical protein
PGJBDIIN_00590	CDS	342				hypothetical protein
PGJBDIIN_00591	CDS	1227				hypothetical protein
PGJBDIIN_00592	CDS	1965				hypothetical protein
PGJBDIIN_00593	CDS	1824				hypothetical protein
PGJBDIIN_00594	CDS	234				hypothetical protein
PGJBDIIN_00595	CDS	261				hypothetical protein
PGJBDIIN_00596	CDS	282				hypothetical protein
PGJBDIIN_00597	CDS	1236				hypothetical protein
PGJBDIIN_00598	CDS	195				hypothetical protein
PGJBDIIN_00599	CDS	1062				hypothetical protein
PGJBDIIN_00600	CDS	372				hypothetical protein
PGJBDIIN_00601	CDS	1005				hypothetical protein
PGJBDIIN_00602	CDS	306				hypothetical protein
PGJBDIIN_00603	CDS	204				hypothetical protein
PGJBDIIN_00604	CDS	240				hypothetical protein
PGJBDIIN_00605	CDS	1077				hypothetical protein
PGJBDIIN_00606	CDS	2196				hypothetical protein
PGJBDIIN_00607	CDS	3528	rapA	3.6.4.-		RNA polymerase-associated protein RapA
PGJBDIIN_00608	CDS	762	glmU_2		COG1207	Bifunctional protein GlmU
PGJBDIIN_00609	CDS	960	galE	5.1.3.2	COG1087	UDP-glucose 4-epimerase
PGJBDIIN_00610	CDS	2337	mshA	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
PGJBDIIN_00611	CDS	1695				hypothetical protein
PGJBDIIN_00612	CDS	990				hypothetical protein
PGJBDIIN_00613	CDS	1776	btuD	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
PGJBDIIN_00614	CDS	867	ltaA_1	4.1.2.49		L-allo-threonine aldolase
PGJBDIIN_00615	CDS	1044	ltaA_2	4.1.2.49		L-allo-threonine aldolase
PGJBDIIN_00616	CDS	1146	glpT		COG2271	Glycerol-3-phosphate transporter
PGJBDIIN_00617	CDS	1308	rkpK	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
PGJBDIIN_00618	CDS	915	ribN			Riboflavin transporter
PGJBDIIN_00619	CDS	921				hypothetical protein
PGJBDIIN_00620	CDS	897				hypothetical protein
PGJBDIIN_00621	CDS	303				hypothetical protein
PGJBDIIN_00622	CDS	837				hypothetical protein
PGJBDIIN_00623	CDS	657				hypothetical protein
PGJBDIIN_00624	CDS	912				hypothetical protein
PGJBDIIN_00625	CDS	897				hypothetical protein
PGJBDIIN_00626	CDS	540				hypothetical protein
PGJBDIIN_00627	CDS	2430				hypothetical protein
PGJBDIIN_00628	CDS	1425				hypothetical protein
PGJBDIIN_00629	CDS	3522				hypothetical protein
PGJBDIIN_00630	CDS	2901				hypothetical protein
PGJBDIIN_00631	CDS	1470				hypothetical protein
PGJBDIIN_00632	CDS	441				hypothetical protein
PGJBDIIN_00633	CDS	459				hypothetical protein
PGJBDIIN_00634	CDS	735				hypothetical protein
PGJBDIIN_00635	CDS	1161				hypothetical protein
PGJBDIIN_00636	CDS	792				hypothetical protein
PGJBDIIN_00637	CDS	336				hypothetical protein
PGJBDIIN_00638	CDS	255				hypothetical protein
PGJBDIIN_00639	CDS	465				hypothetical protein
PGJBDIIN_00640	CDS	477				hypothetical protein
PGJBDIIN_00641	CDS	450				hypothetical protein
PGJBDIIN_00642	CDS	480				hypothetical protein
PGJBDIIN_00643	CDS	381			COG3039	IS5 family transposase ISWpi1
PGJBDIIN_00644	CDS	342			COG3039	IS5 family transposase ISWpi1
PGJBDIIN_00645	CDS	165				hypothetical protein
PGJBDIIN_00646	CDS	285				hypothetical protein
PGJBDIIN_00647	CDS	1560	prsE			Type I secretion system membrane fusion protein PrsE
PGJBDIIN_00648	CDS	735	fabG	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
PGJBDIIN_00649	CDS	336				hypothetical protein
PGJBDIIN_00650	CDS	1281	bepA	3.4.-.-	COG4783	Beta-barrel assembly-enhancing protease
PGJBDIIN_00651	CDS	654	ribB	4.1.99.12	COG0108	3,4-dihydroxy-2-butanone 4-phosphate synthase
PGJBDIIN_00652	CDS	495	greA		COG0782	Transcription elongation factor GreA
PGJBDIIN_00653	CDS	1542	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
PGJBDIIN_00654	CDS	561	atpH_2		COG0712	ATP synthase subunit delta
PGJBDIIN_00655	CDS	351				hypothetical protein
PGJBDIIN_00656	CDS	429	rplQ		COG0203	50S ribosomal protein L17
PGJBDIIN_00657	CDS	1068	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
PGJBDIIN_00658	CDS	387	rpsK			30S ribosomal protein S11
PGJBDIIN_00659	CDS	369	rpsM		COG0099	30S ribosomal protein S13
PGJBDIIN_00660	CDS	642	adk	2.7.4.3	COG0563	Adenylate kinase
PGJBDIIN_00661	CDS	1329	secY		COG0201	Protein translocase subunit SecY
PGJBDIIN_00662	CDS	471	rplO		COG0200	50S ribosomal protein L15
PGJBDIIN_00663	CDS	513	rpsE		COG0098	30S ribosomal protein S5
PGJBDIIN_00664	CDS	372	rplR		COG0256	50S ribosomal protein L18
PGJBDIIN_00665	CDS	546	rplF		COG0097	50S ribosomal protein L6
PGJBDIIN_00666	CDS	396	rpsH		COG0096	30S ribosomal protein S8
PGJBDIIN_00667	CDS	309	rpsN		COG0199	30S ribosomal protein S14
PGJBDIIN_00668	CDS	588	rplE			50S ribosomal protein L5
PGJBDIIN_00669	CDS	318	rplX			50S ribosomal protein L24
PGJBDIIN_00670	CDS	360	rplN		COG0093	50S ribosomal protein L14
PGJBDIIN_00671	CDS	231	rpsQ		COG0186	30S ribosomal protein S17
PGJBDIIN_00672	CDS	204				hypothetical protein
PGJBDIIN_00673	CDS	414	rplP		COG0197	50S ribosomal protein L16
PGJBDIIN_00674	CDS	615	rpsC		COG0092	30S ribosomal protein S3
PGJBDIIN_00675	CDS	348	rplV		COG0091	50S ribosomal protein L22
PGJBDIIN_00676	CDS	285	rpsS		COG0185	30S ribosomal protein S19
PGJBDIIN_00677	CDS	825	rplB		COG0090	50S ribosomal protein L2
PGJBDIIN_00678	CDS	288	rplW		COG0089	50S ribosomal protein L23
PGJBDIIN_00679	CDS	615	rplD			50S ribosomal protein L4
PGJBDIIN_00680	CDS	723	rplC		COG0087	50S ribosomal protein L3
PGJBDIIN_00681	CDS	348	rpsJ		COG0051	30S ribosomal protein S10
PGJBDIIN_00682	CDS	1173	tufA_2		COG0050	Elongation factor Tu
PGJBDIIN_00683	tRNA	72				tRNA-Gly(tcc)
PGJBDIIN_00684	tRNA	84				tRNA-Tyr(gta)
PGJBDIIN_00685	CDS	1188	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
PGJBDIIN_00686	CDS	495				hypothetical protein
PGJBDIIN_00687	CDS	1347				hypothetical protein
PGJBDIIN_00688	CDS	936	glpX	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase class 2
PGJBDIIN_00689	CDS	327				hypothetical protein
PGJBDIIN_00690	CDS	936				hypothetical protein
PGJBDIIN_00691	CDS	2775	ppdK	2.7.9.1	COG0574	Pyruvate, phosphate dikinase
PGJBDIIN_00692	CDS	444				hypothetical protein
PGJBDIIN_00693	CDS	144				hypothetical protein
PGJBDIIN_00694	CDS	1548				hypothetical protein
PGJBDIIN_00695	CDS	729				hypothetical protein
PGJBDIIN_00696	CDS	1356	algC	5.4.2.2	COG1109	Phosphomannomutase/phosphoglucomutase
PGJBDIIN_00697	CDS	1596				hypothetical protein
PGJBDIIN_00698	CDS	429				hypothetical protein
PGJBDIIN_00699	CDS	516				IS110 family transposase ISMpo4
PGJBDIIN_00700	CDS	1008	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
PGJBDIIN_00701	CDS	738				hypothetical protein
PGJBDIIN_00702	CDS	1137	nifS	2.8.1.7	COG1104	Cysteine desulfurase NifS
PGJBDIIN_00703	CDS	699				hypothetical protein
PGJBDIIN_00704	CDS	165				hypothetical protein
PGJBDIIN_00705	CDS	675	lolD	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
PGJBDIIN_00706	CDS	462	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
PGJBDIIN_00707	CDS	1200				Deoxyguanosinetriphosphate triphosphohydrolase-like protein
PGJBDIIN_00708	CDS	1083	ribD		COG0117	Riboflavin biosynthesis protein RibD
PGJBDIIN_00709	CDS	381				hypothetical protein
PGJBDIIN_00710	CDS	471				hypothetical protein
PGJBDIIN_00711	CDS	678	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
PGJBDIIN_00712	CDS	429				hypothetical protein
PGJBDIIN_00713	CDS	831	dapD	2.3.1.117		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
PGJBDIIN_00714	CDS	285				hypothetical protein
PGJBDIIN_00715	CDS	393				hypothetical protein
PGJBDIIN_00716	CDS	1065				hypothetical protein
PGJBDIIN_00717	CDS	888				hypothetical protein
PGJBDIIN_00718	CDS	513				hypothetical protein
PGJBDIIN_00719	CDS	177				hypothetical protein
PGJBDIIN_00720	CDS	1575	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
PGJBDIIN_00721	CDS	840	pgdA	3.5.1.104	COG0726	Peptidoglycan-N-acetylglucosamine deacetylase
PGJBDIIN_00722	CDS	1509	comM		COG0606	Competence protein ComM
PGJBDIIN_00723	CDS	450				hypothetical protein
PGJBDIIN_00724	CDS	1197	ftsZ			Cell division protein FtsZ
PGJBDIIN_00725	CDS	399				hypothetical protein
PGJBDIIN_00726	CDS	369				hypothetical protein
PGJBDIIN_00727	CDS	453	ybeY	3.1.-.-		Endoribonuclease YbeY
PGJBDIIN_00728	CDS	789	sdhB	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
PGJBDIIN_00729	CDS	1137				hypothetical protein
PGJBDIIN_00730	CDS	780				hypothetical protein
PGJBDIIN_00731	CDS	483	pgpA	3.1.3.27	COG1267	Phosphatidylglycerophosphatase A
PGJBDIIN_00732	CDS	984	gpsA	1.1.1.94		Glycerol-3-phosphate dehydrogenase [NAD(P)+]
PGJBDIIN_00733	CDS	771	ctrA			Cell cycle response regulator CtrA
PGJBDIIN_00734	CDS	2127				hypothetical protein
PGJBDIIN_00735	CDS	501	nqo2	7.1.1.-	COG1905	NADH-quinone oxidoreductase chain 2
PGJBDIIN_00736	CDS	1215	tgt	2.4.2.29		Queuine tRNA-ribosyltransferase
PGJBDIIN_00737	CDS	318				hypothetical protein
PGJBDIIN_00738	CDS	1272		3.4.24.-	COG0612	putative zinc protease
PGJBDIIN_00739	CDS	621	sodB	1.15.1.1		Superoxide dismutase [Fe]
PGJBDIIN_00740	CDS	177				hypothetical protein
PGJBDIIN_00741	CDS	1443	appC	7.1.1.3	COG1271	Cytochrome bd-II ubiquinol oxidase subunit 1
PGJBDIIN_00742	CDS	1023	cydB	7.1.1.7	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
PGJBDIIN_00743	CDS	885	era		COG1159	GTPase Era
PGJBDIIN_00744	CDS	807				hypothetical protein
PGJBDIIN_00745	CDS	1980				hypothetical protein
PGJBDIIN_00746	CDS	807				hypothetical protein
PGJBDIIN_00747	tRNA	88				tRNA-Ser(gga)
PGJBDIIN_00748	CDS	252				hypothetical protein
PGJBDIIN_00749	CDS	294				hypothetical protein
PGJBDIIN_00750	CDS	1110	bamB		COG1520	Outer membrane protein assembly factor BamB
PGJBDIIN_00751	CDS	1380	lpd3	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase 3
PGJBDIIN_00752	CDS	846	xerC		COG4973	Tyrosine recombinase XerC
PGJBDIIN_00753	CDS	318				hypothetical protein
PGJBDIIN_00754	CDS	1302				hypothetical protein
PGJBDIIN_00755	CDS	948	trxB	1.8.1.9	COG0492	Thioredoxin reductase
PGJBDIIN_00756	CDS	600	ahpC	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
PGJBDIIN_00757	CDS	873				hypothetical protein
PGJBDIIN_00758	CDS	339				hypothetical protein
PGJBDIIN_00759	CDS	933	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
PGJBDIIN_00760	CDS	477	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
PGJBDIIN_00761	CDS	1341		3.4.24.-	COG0612	putative zinc protease
PGJBDIIN_00762	CDS	1320		3.4.24.-	COG0612	putative zinc protease
PGJBDIIN_00763	CDS	561	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
PGJBDIIN_00764	CDS	417				hypothetical protein
PGJBDIIN_00765	CDS	531				hypothetical protein
PGJBDIIN_00766	CDS	1425				hypothetical protein
PGJBDIIN_00767	CDS	450	smpB			SsrA-binding protein
PGJBDIIN_00768	CDS	792	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
PGJBDIIN_00769	CDS	1746	prsD			Type I secretion system ATP-binding protein PrsD
PGJBDIIN_00770	CDS	1410				hypothetical protein
PGJBDIIN_00771	CDS	609				hypothetical protein
PGJBDIIN_00772	CDS	354				hypothetical protein
PGJBDIIN_00773	CDS	420				hypothetical protein
PGJBDIIN_00774	tRNA	76				tRNA-Arg(ccg)
PGJBDIIN_00775	CDS	483				Single-stranded DNA-binding protein
PGJBDIIN_00776	CDS	789	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
PGJBDIIN_00777	CDS	1989	ligA	6.5.1.2		DNA ligase
PGJBDIIN_00778	CDS	1323	gltX1	6.1.1.17	COG0008	Glutamate--tRNA ligase 1
PGJBDIIN_00779	CDS	3363	dnaE1	2.7.7.7		DNA polymerase III subunit alpha
PGJBDIIN_00780	CDS	774				hypothetical protein
PGJBDIIN_00781	CDS	276				hypothetical protein
PGJBDIIN_00782	CDS	555	rplI		COG0359	50S ribosomal protein L9
PGJBDIIN_00783	tRNA	74				tRNA-Met(cat)
PGJBDIIN_00784	CDS	1257	aroB	4.2.3.4		3-dehydroquinate synthase
PGJBDIIN_00785	CDS	1197	dapE	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
